ogc_fid,m_per_year,aquifer,broader
311,-0.03352778,Eastern Ca,Northern M
312,-0.0597535,Northern C,Northern M
313,0.003048,Upper Carb,Northern M
314,0.0295275,Mississipp,Northern M
315,0.01670685,Upper Peni,Northern M
316,-0.02154767,Northeast,Northern M
716,0.5744958,Shahroud P,-
317,0.00598714,Central Cu,Appalachia
318,-0.03506795,Southern C,Appalachia
717,0.22936384,Bastam Pla,-
319,-0.03048,Northern C,Appalachia
562,-0.11964286,Somontano,-
320,-0.0277495,Southweste,Appalachia
321,-0.01897982,Western Al,Appalachia
563,0.29423077,Campo de B,-
322,-0.0020955,Southeaste,Appalachia
323,-0.0183642,Central Al,Appalachia
324,-0.01524,Northern A,Appalachia
325,-0.051054,Southern V,Valley and
564,0.015,Campo de C,-
326,-0.108965,Southcentr,Valley and
327,-0.03833579,Northcentr,Valley and
328,0.02819167,Northern V,Valley and
329,0.00773077,Southern S,St. Lawren
330,0.0025,Northern S,St. Lawren
331,-0.01485893,Cape Cod A,-
332,0.002667,Plymouth-C,-
333,0.012192,Northern S,-
334,-0.00682869,Central Mi,-
335,0.0149536,Sardis-Ved,-
336,0.07856037,Eastern Da,-
337,-0.00544286,Dakota Aqu,-
338,0.05842,Great Plai,-
339,0.02369775,Lake Mohav,-
340,0.02087917,Detrital V,-
341,0.02886667,Hualapai V,-
342,-0.0468125,Big Sandy,-
343,0.41710429,Ranegras P,-
344,-0.00777225,Lower Gila,-
345,1.20709455,Gila Bend,-
346,0.03237362,Western C,The C Aqui
347,0.042672,Eastern C,The C Aqui
348,0.00439057,Western Ch,-
349,-3.81E-4,Eastern Ch,-
350,-0.015875,Coastal Ma,-
351,-0.00249382,New Hampsh,-
352,-0.006731,Upper Amer,Sierra Nev
353,0.0131445,Upper Butt,Sierra Nev
354,-0.28335514,Upper Feat,Sierra Nev
355,0.01133475,Upper Yuba,Sierra Nev
356,-0.0112395,Upper Bear,Sierra Nev
357,-0.03115733,Upper Cosu,Sierra Nev
358,-0.01016,Upper Moke,Sierra Nev
359,-0.04581525,Upper Cala,Sierra Nev
360,-0.0287655,Upper Stan,Sierra Nev
361,0.00261257,Upper Tuol,Sierra Nev
362,-0.064643,Upper Merc,Sierra Nev
363,-0.04909185,Upper Fres,Sierra Nev
364,-0.06293062,Upper Chow,Sierra Nev
365,-0.00957943,Upper Dry,Sierra Nev
366,-0.286512,Upper Kawe,Sierra Nev
367,-0.01336431,Upper Tule,Sierra Nev
368,-0.00433754,Upper Poso,Sierra Nev
369,-0.03060194,Saanich Pe,-
370,-0.02042235,Nanaimo Lo,-
371,0.02608679,Lower Atha,Lower Atha
372,-0.05324692,Cold Lake-,-
373,-0.1791594,Dalmeny Aq,-
374,-0.033229,Cypress-Ea,Bearpaw-Ju
375,0.01524,Transbound,Bearpaw-Ju
376,0.02310424,Great Sand,Bearpaw-Ju
377,0.032,Tyner Vall,Bearpaw-Ju
565,0.01178571,Ebro Alluv,-
