Table 5,Characterization factors of the subbasins,Unnamed: 2,Unnamed: 3
,,,
HUC8 ID,Subbasin,Scaled Power Consumption (MWh),Characterization factor
3040206,Waccamaw,10905.434822720828,0.3554515350737983
3040207,Carolina Coastal-Sampit,907.1358363053631,0.1
3040208,0,9315.539292320122,0.3245669668833907
3050101,Upper Catawba,320316.7623163803,0.2727781225777842
3050102,South Fork Catawba,410301.9368633938,0.34076833373705906
3050103,Lower Catawba,93044.53724254262,0.11281169509963263
3050104,Wateree,11101.837538463898,0.1
3050105,Upper Broad,629522.1299023004,0.3142180738615633
3050106,Lower Broad,10190.45325442787,0.1
3050107,Tyger,11526.898250838693,0.3402820134769555
3050108,Enoree,8400.417342478728,0.37535056245740084
3050109,Saluda,41652.10563439752,0.3679413912163019
3050110,Congaree,19887.14536952702,0.1
3050111,Lake Marion,1993.99977547658,0.1
3050112,Santee,2485.1565314925165,0.1
3050201,Copper,813936.3428059174,0.4305655106638452
3050202,South Carolina Coastal,2182.7779193576775,0.45151298678708796
3050203,North Fork Edisto,5652.098155948795,0.3562615204007904
3050204,South Fork Edisto,8205.116560194636,0.3600398151055996
3050205,Edisto,5693.196017953437,0.4020989316901306
3050206,Four Hole Swamp,7455.46959447755,0.1152077026088616
3050207,Salkehatchie,5745.193629967018,0.42511447470412994
3050208,Broad-St. Helena,3628.5433452214525,0.42551889155287204
3050209,0,4365.55583881451,0.38092524391274685
3050210,0,0,0.4322285169812967
3060101,Seneca,15505.704451262818,0.24037582364329652
3060102,Tugaloo,3597.1859272961474,0.2171733108796414
3060103,Upper Savannah,7781.836564805364,0.1
3060104,Broad,8180.643564283744,0.3446848706137483
3060105,Little,2468.0654254307096,0.4595878777911467
3060106,Middle Savannah,16218.57026840625,0.1
3060107,Stevens,3603.680121500346,0.5279855089205651
3060108,Brier,5239.3315557391215,0.4291473384232638
3060109,Lower Savannah,7616.807970283537,0.1
3060110,Calibogue Sound-Wright River,1814.2716726107262,0.45515834340287675
3060201,Upper Ogeechee,3856.482857892946,0.437639007567154
3060202,Lower Ogeechee,14184.549993661863,0.1193371830685752
3060203,Canoochee,2830.7683651105876,0.4183297880282219
3060204,Ogeechee Coastal,15287.319225653548,0.393372365750974
3070101,Upper Oconee,39475.66092818909,0.3849256047404589
3070102,Lower Oconee,5839.531926295385,0.18723176331301133
3070103,Upper Ocmulgee,472015.45411238907,0.35865374822534507
3070104,Lower Ocmulgee,11128.499877019542,0.15150736141692406
3070105,Little Ocmulgee,2334.7261362260256,0.45663872941443384
3070106,Altamaha,1764.0638554889133,0.1
3070107,Ohoopee,2853.5540857976025,0.4292535375759674
3070201,Satilla,5833.805357594859,0.3100132204317566
3070202,Little Satilla,2334.7261362260256,0.40607674452302583
3070203,Cumberland-St. Simons,3106.9486999325804,0.36601692510381445
3070204,St Marys,9937.862577223254,0.4495795018252483
3070205,Nassau,3226.149493773351,0.42861111038196537
3080101,Upper St. Johns,129285.95145011952,0.44842346352864154
3080102,Oklawaha,81686.69671238393,0.397494407359434
3080103,"Lower St, Johns",132990.03631253465,0.12050690448876232
3080201,Daytona-St. Augustine,20585.424607150984,0.3802787058667539
3080202,Cape Canaveral,22939.464598576287,0.4448495421324886
3080203,Vero Beach,10577.044090389414,0.4096342521694627
3090101,Kissimmee,76016.10388914392,0.4486658750810631
3090102,Northern Okeechobee Inflow,0,0.49940773290855955
3090103,Western Okeechobee Inflow,293.98069562777164,0.48036171560172
3090201,Lake Okeechobee,2348.946695652231,0.1
3090202,Everglades,12623.776301932234,0.3824652806129989
3090203,0,2351.8455652204825,0.7007479063722428
3090204,Big Cypress Swamp,27369.766297629507,0.37676058240931676
3090205,Caloosahatchee,18023.401914228034,0.44422111760330013
3090206,Florida Southeast Coast,607575.4861592295,0.1359805185058168
3100101,Peace,37578.99890168743,0.3934256361884372
3100102,Myakka,9043.9146007315,0.3651847535019426
