Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,STATE,KENTUCKY,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,14,63.6
CENSUS,2023,YEAR,STATE,LOUISIANA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"40,822",71.8
CENSUS,2023,YEAR,STATE,MARYLAND,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,223,73.9
CENSUS,2023,YEAR,STATE,MASSACHUSETTS,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"6,094",27.5
CENSUS,2023,YEAR,STATE,MICHIGAN,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,859,64.0
CENSUS,2023,YEAR,STATE,MICHIGAN,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"3,700",66.9
CENSUS,2023,YEAR,STATE,MICHIGAN,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,820,96.0
CENSUS,2023,YEAR,STATE,MINNESOTA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,079",67.1
CENSUS,2023,YEAR,STATE,MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,3,99.1
CENSUS,2023,YEAR,STATE,MISSISSIPPI,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,3,99.1
CENSUS,2023,YEAR,STATE,MISSISSIPPI,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"24,065",48.4
CENSUS,2023,YEAR,STATE,MISSOURI,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,258,52.0
CENSUS,2023,YEAR,STATE,MISSOURI,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,444",80.5
CENSUS,2023,YEAR,STATE,MISSOURI,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"7,306",94.4
CENSUS,2023,YEAR,STATE,MONTANA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,710,83.6
CENSUS,2023,YEAR,STATE,MONTANA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"18,823",54.4
CENSUS,2023,YEAR,STATE,NEBRASKA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"12,888",74.1
CENSUS,2023,YEAR,STATE,NEBRASKA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"28,123",64.3
CENSUS,2023,YEAR,STATE,NEBRASKA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"27,600",67.0
