"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2023","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","887","86.9"
"CENSUS","2023","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","465","69.7"
"CENSUS","2023","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","17,538","60.1"
"CENSUS","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","21,031","46.9"
"CENSUS","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","29,299","57.2"
"CENSUS","2023","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","1,050","99.8"
"CENSUS","2023","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","2,100","99.8"
"CENSUS","2023","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","802","68.1"
"CENSUS","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","794","96.7"
"CENSUS","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","4,760","98.3"
"CENSUS","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,207","72.5"
"CENSUS","2023","YEAR","","STATE","IOWA","19","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","6,715","46.6"
"CENSUS","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","15,671","37.0"
"CENSUS","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","31,461","46.1"
"CENSUS","2023","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","6","(H)"
"CENSUS","2023","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","14","63.6"
"CENSUS","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","40,822","71.8"
"CENSUS","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","223","73.9"
